model_name,roc_auc,pr_auc,ks_statistic,gini,optimal_threshold,optimal_business_cost,tp,fp,tn,fn,precision,recall
Logistic Regression,0.5874,0.0169,0.199,0.1748,0.771,2000000,0,0,2960,40,0.0,0.0
XGBoost,0.5044,0.0133,0.0757,0.0088,0.779,2000000,0,0,2960,40,0.0,0.0
